date,open,high,low,close,volume
2025-01-02,10.50,10.80,10.40,10.75,1000000
2025-01-03,10.80,11.00,10.70,10.90,1200000
2025-01-06,10.95,11.20,10.85,11.10,1100000
2025-01-07,11.15,11.30,11.00,11.05,900000
2025-01-08,11.00,11.15,10.80,10.95,1050000
2025-01-09,10.90,11.10,10.75,11.00,1150000
2025-01-10,11.05,11.25,10.95,11.20,1200000
2025-01-13,11.25,11.50,11.15,11.40,1300000
2025-01-14,11.45,11.60,11.30,11.55,1250000
2025-01-15,11.50,11.70,11.40,11.65,1400000
2025-01-16,11.60,11.80,11.50,11.75,1350000
2025-01-17,11.70,11.90,11.60,11.85,1450000
2025-01-20,11.80,12.00,11.70,11.95,1500000
2025-01-21,11.90,12.10,11.80,12.00,1550000
2025-01-22,11.95,12.15,11.85,11.80,1400000
2025-01-23,11.75,12.00,11.60,11.70,1350000
2025-01-24,11.65,11.90,11.55,11.60,1300000
2025-01-27,11.55,11.75,11.45,11.50,1250000
2025-01-28,11.45,11.65,11.30,11.35,1200000
2025-01-29,11.30,11.50,11.20,11.25,1150000
2025-01-30,11.20,11.40,11.10,11.15,1100000
2025-02-03,11.10,11.30,11.00,11.05,1050000
2025-02-04,11.00,11.20,10.90,10.95,1000000
2025-02-05,10.90,11.10,10.80,10.85,950000
2025-02-06,10.80,11.00,10.70,10.75,900000
2025-02-07,10.70,10.90,10.60,10.65,850000
2025-02-10,10.60,10.80,10.50,10.55,800000
2025-02-11,10.50,10.70,10.40,10.45,750000
2025-02-12,10.40,10.60,10.30,10.35,700000
2025-02-13,10.30,10.50,10.20,10.25,650000
2025-02-14,10.20,10.40,10.10,10.15,600000
2025-02-17,10.10,10.30,10.00,10.05,550000
2025-02-18,10.00,10.20,9.90,9.95,500000
2025-02-19,9.90,10.10,9.80,9.85,450000
2025-02-20,9.80,10.00,9.70,9.75,400000
2025-02-21,9.70,9.90,9.60,9.65,350000
2025-02-24,9.60,9.80,9.50,9.55,300000
2025-02-25,9.50,9.70,9.40,9.45,250000
2025-02-26,9.40,9.60,9.30,9.35,200000
2025-02-27,9.30,9.50,9.20,9.25,150000
2025-02-28,9.20,9.40,9.10,9.15,100000
2025-03-03,9.10,9.30,9.00,9.05,95000
2025-03-04,9.00,9.20,8.90,8.95,90000
2025-03-05,8.90,9.10,8.80,8.85,85000
2025-03-06,8.80,9.00,8.70,8.75,80000
2025-03-07,8.70,8.90,8.60,8.65,75000
2025-03-10,8.60,8.80,8.50,8.55,70000
2025-03-11,8.50,8.70,8.40,8.45,65000
2025-03-12,8.40,8.60,8.30,8.35,60000
2025-03-13,8.30,8.50,8.20,8.25,55000
2025-03-14,8.20,8.40,8.10,8.15,50000
2025-03-17,8.10,8.30,7.90,7.95,45000
2025-03-18,7.90,8.10,7.70,7.75,40000
2025-03-19,7.70,7.90,7.50,7.55,35000
2025-03-20,7.50,7.70,7.30,7.35,30000
2025-03-21,7.30,7.50,7.10,7.15,25000
2025-03-24,7.10,7.30,7.00,7.05,20000
2025-03-25,7.00,7.20,6.90,6.95,15000
2025-03-26,6.90,7.10,6.80,6.85,10000
2025-03-27,6.80,7.00,6.70,6.75,5000
2025-03-28,6.70,6.90,6.60,6.65,1000
2025-03-31,6.60,6.80,6.50,6.55,500
2025-04-01,6.50,6.70,6.40,6.45,100
2025-04-02,6.40,6.60,6.30,6.35,50
2025-04-03,6.30,6.50,6.20,6.25,20
2025-04-04,6.20,6.40,6.10,6.15,10
